module,key,english,old_zh,translation
abeip,dsEdit.abeip.tag_types.int,INT (16 bit signed integer),INT (16 bit signed integer),int（16位簽名的整數）
abeip,dsEdit.abeip.tag_types.dint,DINT (32 bit signed integer),DINT (32 bit signed integer),DINT（32位簽名的整數）
abeip,dsEdit.abeip.tag_types.real,REAL (32 bit floating point),REAL (32 bit floating point),真實（32位浮點）
abeip,dsEdit.abeip.tag_types.string,STRING,STRING,STRING
abeip,dsEdit.abeip.writeType,Write type,Write type,寫入類型
abeip,dsEdit.abeip.write_types.read_only,Read only,Read only,唯讀
abeip,dsEdit.abeip.write_types.read_write,Read & write,Read & write,讀寫
abeip,dsEdit.abeip.write_types.write_only,Write only,Write only,只寫
abeip,abeip.dox.ds,A-B E/IP Data Source,A-B E/IP Data Source,A-B E/IP資料來源
abeip,abeip.dox.pp,A-B E/IP Point,A-B E/IP Point,A-B E/IP點
abpccc,abpccc.description,Data source for Allen-Bradley PCCC (SLC series) Ethernet devices,Data source for Allen-Bradley PCCC (SLC series) Ethernet devices,Allen-Bradley PCCC（SLC系列）以太網設備的資料來源
abpccc,dsEdit.abpccc,Allen-Bradley PCCC,Allen-Bradley PCCC,艾倫·布拉德利PCCC
abpccc,dsedit.abpccc.properties,Allen-Bradley PCCC properties,Allen-Bradley PCCC properties,Allen-Bradley PCCC屬性
abpccc,dsEdit.abpccc.dsconn,Host {0},Host {0},主機{0}
abpccc,dsEdit.abpccc.event.dataSourceException,Data source error,Data source error,資料來源錯誤
abpccc,dsEdit.abpccc.event.connectTimeout,Connection timeout,Connection timeout,連接逾時
abpccc,dsEdit.abpccc.event.noSession,PLC session error,PLC session error,PLC會話錯誤
abpccc,dsEdit.abpccc.event.readFail,Read fail,Read fail,讀取失敗
abpccc,dsEdit.abpccc.event.writeFail,Write fail,Write fail,寫入失敗
abpccc,dsEdit.abpccc.event.licenseExceeded,Point count exceeds license allowance,Point count exceeds license allowance,點計數超過授權許可
abpccc,dsEdit.abpccc.msg.dataSourceException,Data source error,Data source error,資料來源錯誤
abpccc,dsEdit.abpccc.msg.connectTimeout,Connection timed out,Connection timed out,連接時機
abpccc,dsEdit.abpccc.msg.noSession,Couldn't get session with PLC,Couldn't get session with PLC,無法與PLC進行會話
abpccc,dsEdit.abpccc.msg.readFail,Read failed,Read failed,讀取失敗
abpccc,dsEdit.abpccc.msg.writeFail,Write failed,Write failed,寫入失敗
abpccc,dsEdit.abpccc.msg.readFailTag,"Read failed, tag: {0}","Read failed, tag: {0}",讀取失敗，標籤：{0}
abpccc,dsEdit.abpccc.msg.writeFailTag,"Write failed, tag: {0}","Write failed, tag: {0}",寫入失敗，標籤：{0}
abpccc,dsEdit.abpccc.timeout,Timeout (ms),Timeout (ms),逾時（MS）
abpccc,dsEdit.abpccc.retries,Retries,Retries,重試
abpccc,dsEdit.abpccc.hostName,Host name,Host name,主機名
abpccc,dsEdit.abpccc.portNumber,Port,Port,埠號
abpccc,dsEdit.abpccc.rackNumber,Rack,Rack,機架
abpccc,dsEdit.abpccc.slotNumber,Slot,Slot,插槽
abpccc,dsEdit.abpccc.dpconn,Tag {0},Tag {0},標籤{0}
abpccc,dsEdit.abpccc.tag,Address,Address,地址
abpccc,dsEdit.abpccc.plcType,PLC type,PLC type,PLC類型
abpccc,dsEdit.abpccc.plc_types.slc505,SLC 5/05,SLC 5/05,SLC 5/05
abpccc,dsEdit.abpccc.plc_types.plc5,PLC-5,PLC-5,PLC-5
abpccc,dsEdit.abpccc.plc_types.micrologix,Micrologix,Micrologix,微學分
abpccc,dsEdit.abpccc.multistate,Multistate,Multistate,多層
abpccc,dsEdit.abpccc.writeType,Write type,Write type,寫入類型
abpccc,dsEdit.abpccc.write_types.read_only,Read only,Read only,唯讀
abpccc,dsEdit.abpccc.write_types.read_write,Read & write,Read & write,讀寫入
abpccc,dsEdit.abpccc.write_types.write_only,Write only,Write only,只寫入
abpccc,abpccc.dox.ds,A-B PCCC Data Source,A-B PCCC Data Source,A-B PCCC資料來源
abpccc,abpccc.dox.pp,A-B PCCC Point,A-B PCCC Point,A-B PCCC點
advancedComponents,advancedComponents.description,AngularJS advanced components,AngularJS advanced components,Angularjs高級組件
advancedScheduler,advancedSchedule.events.subTypeActiveDefault,Schedule active,Schedule active,排程有效
advancedScheduler,advancedSchedule.events.subTypeErrorDefault,Schedule error,Schedule error,排程錯誤
advancedScheduler,advancedSchedule.events.subTypeActiveDefault,Schedule active,Schedule active,排程有效
advancedScheduler,advancedSchedule.events.subTypeErrorDefault,Schedule error,Schedule error,排程錯誤
advancedScheduler,advancedScheduler.validate.offsetsOutOfOrder,Offsets are not in time order,Offsets are not in time order,偏移不是按時順序
advancedScheduler,advancedScheduler.validate.userDNE,User assigned to schedule does not exist,User assigned to schedule does not exist,分配給時間表的用戶不存在
advancedScheduler,advancedScheduler.rt.event,{0},{0},{0}
advancedScheduler,advancedScheduler.rt.initializationError,Schedule {0} failed to initialize because {1},Schedule {0} failed to initialize because {1},附表{0}無法初始化，因為{1}
advancedScheduler,advancedScheduler.rt.stateChangeError,Schedule {0} failed to change state because {1},Schedule {0} failed to change state because {1},附表{0}無法更改狀態，因為{1}
advancedScheduler,advancedScheduler.rt.terminationError,Schedule {0} had problems terminating because {1},Schedule {0} had problems terminating because {1},附表{0}遇到問題，因為{1}
advancedScheduler,advancedScheduler.rt.persistDataError,Schedule {0} couldn't save its state to the database because {1},Schedule {0} couldn't save its state to the database because {1},附表{0}無法將其狀態保存到資料庫，因為{1}
advancedScheduler,advancedScheduler.dateRangeRule.invalidYears,Start and end years must both be specific or unspecific,Start and end years must both be specific or unspecific,開始和結束年必須是特定的或不明確的
advancedScheduler,advancedScheduler.dateRangeRule.invalidMonths,Start and end months must both be specific or unspecific,Start and end months must both be specific or unspecific,開始和結束月必須是特定的或不明確的
advancedScheduler,advancedScheduler.dateRangeRule.invalidDays,Start and end days must both be specific or unspecific,Start and end days must both be specific or unspecific,開始和結束的日子必須是特定的或不明確的
advancedScheduler,advancedScheduler.dateRangeRule.invalidDayOfWeek,Day of week ranges are not supported,Day of week ranges are not supported,不支持一周中的範圍
advancedScheduler,advancedScheduler.ui.roundTo,Round to,Round to,圓
advancedScheduler,advancedScheduler.ui.editNamePermissions,"Edit name, permissions and alarm levels","Edit name, permissions and alarm levels",編輯名稱，權限和警報級別
asciiFile,file.desc,Read and Parse ASCII Text files,Read and Parse ASCII Text files,讀取和解析ASCII文本檔案
asciiFile,dsEdit.asciiFile,ASCII file data source,ASCII file data source,ASCII檔案資料來源
asciiFile,dsEdit.asciiFilePoint,ASCII file data point,ASCII file data point,ASCII檔案資料點
asciiFile,dsEdit.file,File,File,檔案
asciiFile,dsEdit.file.exampleText,Example text,Example text,示例文本
asciiFile,dsEdit.file.pathIsNotCanonical,Path is not canonical,Path is not canonical,路徑不是規範的
asciiFile,dsEdit.file.ioexceptionCanonical,"IOException attempting to convert given file path, {0}, to canonical path","IOException attempting to convert given file path, {0}, to canonical path",試圖將給定的檔案路徑{0}轉換為規範路徑的IOException
asciiFile,dsEdit.file.test.match,Match,Match,符合
asciiFile,dsEdit.file.test.noMatch,No match,No match,沒有符合
asciiFile,file.path,{0},{0},{0}
asciiFile,file.event.obsDestroy,Failed to destroy file observer because: {0},Failed to destroy file observer because: {0},由於：{0}
asciiFile,file.event.patternMismatch,Recieved message: {0} does not match pattern: {1},Recieved message: {0} does not match pattern: {1},收到的消息：{0}不符合模式：{1}
asciiFile,file.event.fileNotFound,File not found: {0},File not found: {0},找不到檔案：{0}
asciiFile,file.event.notNumber,Captured value is not numeric: {0},Captured value is not numeric: {0},擷取的值不是數字：{0}
asciiFile,file.event.dateParseFailed,Failed to parse date: {0},Failed to parse date: {0},無法解析日期：{0}
asciiFile,file.event.insufficientGroups,Insufficient groups matched for point: {0},Insufficient groups matched for point: {0},符合的組不足：{0}
asciiFile,file.validate.noCaptureGroup,Capture group required,Capture group required,需要擷取組
asciiFile,file.validate.invalidDateFormat,Invalid date format ''{0}'' produced exception: {1},Invalid date format ''{0}'' produced exception: {1},無效的日期格式''{0}'產生異常：{1}
BACnet,mod.bacnet,Data sources and publisher for BACnet,Data sources and publisher for BACnet,BACNET的資料來源和發布者
BACnet,mod.bacnet.dsconn,Device ID: {0},Device ID: {0},設備ID：{0}
BACnet,mod.bacnet.id,Local device ID,Local device ID,本地設備ID
BACnet,mod.bacnet.sendingWhoIs,Sending WhoIs...,Sending WhoIs...,發送什麼...
BACnet,mod.bacnet.getDetails,Get details,Get details,取得詳細資訊
BACnet,mod.bacnet.exportObjectList,Export object list,Export object list,導出對象列表
BACnet,mod.bacnet.addPoint,Add point,Add point,新增點
BACnet,mod.bacnet.presentValue,Present value,Present value,目前數值
BACnet,mod.bacnet.listenerStopped,Listener stopped,Listener stopped,監聽器停了下來
BACnet,mod.bacnet.device,Device,Device,裝置
BACnet,mod.bacnet.deviceId,Device ID,Device ID,設備ID
BACnet,mod.bacnet.strict,Strict device comparisons,Strict device comparisons,嚴格的設備比較
BACnet,mod.bacnet.localNetworkNumber,Local network number,Local network number,本地網路號
BACnet,mod.bacnet.timeout,Timeout (ms),Timeout (ms),逾時（MS）
BACnet,mod.bacnet.segmentTimeout,Segment timeout (ms),Segment timeout (ms),細分逾時（MS）
BACnet,mod.bacnet.segmentWindow,Segment window,Segment window,段窗口
BACnet,mod.bacnet.retries,Retries,Retries,重試
BACnet,mod.bacnet.covLease,COV lease time (minutes),COV lease time (minutes),COV租賃時間（分鐘）
BACnet,mod.bacnet.discovery,BACnet discovery,BACnet discovery,BACNET發現
BACnet,mod.bacnet.sendWhoIs,Send WhoIs,Send WhoIs,發送whois
BACnet,mod.bacnet.objectList,Remote device object list,Remote device object list,遠端設備對象列表
BACnet,mod.bacnet.sendObjList,Send object list request,Send object list request,發送對象列表請求
BACnet,mod.bacnet.gettingDeviceDetails,Getting device details...,Getting device details...,取得設備詳細資訊...
BACnet,mod.bacnet.remoteDeviceNetworkNumber,Network number,Network number,網路號
BACnet,mod.bacnet.remoteDeviceMac,MAC,MAC,蘋果
BACnet,mod.bacnet.remoteDeviceInstanceNumber,Device instance number,Device instance number,設備實體號
BACnet,mod.bacnet.modelName,Model name,Model name,模型名稱
BACnet,mod.bacnet.objectName,Object name,Object name,對象名稱
BACnet,mod.bacnet.address,Address,Address,地址
BACnet,mod.bacnet.systemStatus,Status,Status,地位
BACnet,mod.bacnet.objectType,Object type,Object type,對像類型
BACnet,mod.bacnet.objectDescription,Object Description,Object Description,對象描述
BACnet,mod.bacnet.propertyIdentifier,Property Identifier,Property Identifier,屬性標識符
BACnet,mod.bacnet.reuseAddress,Reuse Address,Reuse Address,重用地址
BACnet,mod.bacnetMstp.dataTypeSupport,Data type support,Data type support,資料類型支持
BACnet,mod.bacnet.objectType.accumulator,Accumulator,Accumulator,累加器
BACnet,mod.bacnet.objectType.analogInput,Analog input,Analog input,類比輸入
BACnet,mod.bacnet.objectType.analogOutput,Analog output,Analog output,類比輸出
BACnet,mod.bacnet.objectType.analogValue,Analog value,Analog value,類比值
BACnet,mod.bacnet.objectType.averaging,Averaging,Averaging,平均
BACnet,mod.bacnet.objectType.binaryInput,Binary input,Binary input,二進制輸入
BACnet,mod.bacnet.objectType.binaryOutput,Binary output,Binary output,二進制輸出
BACnet,mod.bacnet.objectType.binaryValue,Binary value,Binary value,二進制值
BACnet,mod.bacnet.objectType.lifeSafetyPoint,Life safety point,Life safety point,生命安全點
BACnet,mod.bacnet.objectType.lifeSafetyZone,Life safety zone,Life safety zone,生命安全區
BACnet,mod.bacnet.objectType.loop,Loop,Loop,環形
BACnet,mod.bacnet.objectType.multiStateInput,Multi-state input,Multi-state input,多州輸入
BACnet,mod.bacnet.objectType.multiStateOutput,Multi-state output,Multi-state output,多狀態輸出
BACnet,mod.bacnet.objectType.multiStateValue,Multi-state value,Multi-state value,多態值
BACnet,mod.bacnet.objectType.pulseConverter,Pulse converter,Pulse converter,脈沖轉換器
BACnet,mod.bacnet.objectType.calendar,Calendar,Calendar,日曆
BACnet,mod.bacnet.objectType.command,Command,Command,命令
BACnet,mod.bacnet.objectType.device,Device,Device,裝置
BACnet,mod.bacnet.objectType.eventEnrollment,Event enrollment,Event enrollment,事件註冊
BACnet,mod.bacnet.objectType.file,File,File,檔案
BACnet,mod.bacnet.objectType.group,Group,Group,團體
BACnet,mod.bacnet.objectType.notificationClass,Notification class,Notification class,通知類
BACnet,mod.bacnet.objectType.program,Program,Program,程式
BACnet,mod.bacnet.objectType.schedule,Schedule,Schedule,日程
BACnet,mod.bacnet.objectType.trendLog,Trend log,Trend log,趨勢日誌
BACnet,mod.bacnet.objectType.eventLog,Event log,Event log,事件日誌
BACnet,mod.bacnet.objectType.globalGroup,Global group,Global group,全球小組
BACnet,mod.bacnet.objectType.trendLogMultiple,Trend log multiple,Trend log multiple,趨勢日誌多重
BACnet,mod.bacnet.objectType.loadControl,Load control,Load control,負載控制
BACnet,mod.bacnet.objectType.structuredView,Structured view,Structured view,結構化視圖
BACnet,mod.bacnet.objectType.accessDoor,Access door,Access door,進入門
BACnet,mod.bacnet.objectType.timer,Timer,Timer,計時器
BACnet,mod.bacnet.objectType.accessCredential,Access credential,Access credential,存取憑證
BACnet,mod.bacnet.objectType.accessPoint,Access point,Access point,存取點
BACnet,mod.bacnet.objectType.accessRights,Access rights,Access rights,存取權利
BACnet,mod.bacnet.objectType.accessUser,Access user,Access user,存取用戶
BACnet,mod.bacnet.objectType.accessZone,Access zone,Access zone,存取區
BACnet,mod.bacnet.objectType.credentialDataInput,Credential data input,Credential data input,憑證資料輸入
BACnet,mod.bacnet.objectType.networkSecurity,Network security,Network security,網路安全
BACnet,mod.bacnet.objectType.bitstringValue,Bitstring value,Bitstring value,Bitstring值
BACnet,mod.bacnet.objectType.characterstringValue,Character string value,Character string value,字符字符串值
BACnet,mod.bacnet.objectType.datePatternValue,Date pattern value,Date pattern value,日期模式值
BACnet,mod.bacnet.objectType.dateValue,Date value,Date value,日期值
BACnet,mod.bacnet.objectType.datetimePatternValue,Datetime pattern value,Datetime pattern value,DateTime模式值
BACnet,mod.bacnet.objectType.datetimeValue,Datetime value,Datetime value,DateTime值
BACnet,mod.bacnet.objectType.integerValue,Integer value,Integer value,整數值
BACnet,mod.bacnet.objectType.largeAnalogValue,Large analog value,Large analog value,大類比值
BACnet,mod.bacnet.objectType.octetstringValue,Octet string value,Octet string value,八位位字符串值
BACnet,mod.bacnet.objectType.positiveIntegerValue,Positive integer value,Positive integer value,正整數值
BACnet,mod.bacnet.objectType.timePatternValue,Time pattern value,Time pattern value,時間模式值
BACnet,mod.bacnet.objectType.timeValue,Time value,Time value,時間值
BACnet,mod.bacnet.objectType.notificationForwarder,Notification forwarder,Notification forwarder,通知轉發器
BACnet,mod.bacnet.objectType.alertEnrollment,Alert enrollment,Alert enrollment,警報註冊
BACnet,mod.bacnet.objectType.channel,Channel,Channel,頻道
BACnet,mod.bacnet.objectType.lightingOutput,Lighting output,Lighting output,照明輸出
BACnet,mod.bacnet.objectType.binaryLightingOutput,Binary lighting output,Binary lighting output,二進制照明輸出
BACnet,mod.bacnet.objectType.networkPort,Network port,Network port,網路埠號
BACnet,mod.bacnet.objectType.elevatorGroup,Elevator group,Elevator group,電梯組
BACnet,mod.bacnet.objectType.escalator,Escalator,Escalator,電扶梯
BACnet,mod.bacnet.objectType.lift,Lift,Lift,舉起
BACnet,mod.bacnet.all,All,All,全部
BACnet,mod.bacnet.none,None,None,沒有任何
BACnet,mod.bacnet.addSel,Add selected,Add selected,新增選擇
BACnet,mod.bacnet.objects,object(s),object(s),對象
BACnet,mod.bacnet.adding,Adding selected objects...,Adding selected objects...,新增選定的對象...
BACnet,mod.bacnet.objListRunning,Cancel the running object list request before starting another.,Cancel the running object list request before starting another.,在啟動另一個之前，取消執行對象列表請求。
BACnet,mod.bacnet.objectTypeNumber,Type ID,Type ID,類型ID
BACnet,mod.bacnet.deviceObjects,Device objects,Device objects,設備對象
BACnet,mod.bacnet.remoteDevice,Remote device,Remote device,遠端設備
BACnet,mod.bacnet.deviceName,Device name,Device name,設備名稱
BACnet,mod.bacnet.deviceDescription,Device description,Device description,設備描述
BACnet,mod.bacnet.units,Units,Units,單位
BACnet,mod.bacnet.objectInstanceId,Object instance ID,Object instance ID,對象實體ID
BACnet,mod.bacnet.useObjectName,Use Object Name for New Points,Use Object Name for New Points,使用新點的對象名稱
BACnet,mod.bacnet.useObjectDescription,Use Object Description for New Points,Use Object Description for New Points,使用對象描述新點
BACnet,mod.bacnet.refreshProperties,Refresh properties list,Refresh properties list,更新屬性列表
BACnet,mod.bacnet.refreshDataTypes,Refresh data types,Refresh data types,更新資料類型
BACnet,mod.bacnet.objectInstanceNumber,Object instance number,Object instance number,對象實體號
BACnet,mod.bacnet.useCov,Use COV subscription,Use COV subscription,使用COV訂閱
BACnet,mod.bacnet.writePriority,Write priority,Write priority,寫入優先
BACnet,mod.bacnet.tester.auto,Auto-shutoff,Auto-shutoff,Auto-shutoff
BACnet,mod.bacnet.tester.listening,Listening for messages...,Listening for messages...,正在監聽訊息...
BACnet,mod.bacnet.tester.cancelled,Cancelled,Cancelled,取消
BACnet,mod.bacnet.tester.indexNotFound,Remote device index not found,Remote device index not found,找不到遠端設備索引
BACnet,mod.bacnet.tester.sendObjectList,Sending object list request...,Sending object list request...,發送對象列表請求...
BACnet,event.bacnet.deviceError,"No response from device at {0}, point init failed: {1}","No response from device at {0}, point init failed: {1}",設備在{0}中無響應，點啟動失敗：{1}
BACnet,event.bacnet.readError,Error reading value for point {0}: {1},Error reading value for point {0}: {1},{0}的錯誤讀取值：{1}
BACnet,event.bacnet.iamError,IAm broadcast failure: {0},IAm broadcast failure: {0},IAM廣播失敗：{0}
BACnet,event.bacnet.whoisError,WhoIs broadcast failure: {0},WhoIs broadcast failure: {0},WHOIS廣播失敗：{0}
BACnet,event.bacnet.whoisPoint,WhoIs failed during init of point {0}: {1},WhoIs failed during init of point {0}: {1},在初始點{0}的初始化期間失敗：{1}
BACnet,event.bacnet.readDevice,Read properties from device at {0} failed: {1},Read properties from device at {0} failed: {1},從{0}失敗的設備讀取屬性：{1}
BACnet,event.bacnet.covFailed,"COV subscription failed at {0}, point {1} with error: {2}","COV subscription failed at {0}, point {1} with error: {2}",cov訂閱失敗在{0}，點{1}，帶有錯誤：{2}
BACnet,event.bacnet.dataTypeError,"Unable to convert {0} to Mango data type {1}, value not saved for point: {2}","Unable to convert {0} to Mango data type {1}, value not saved for point: {2}",無法將{0}轉換為 Mango 資料類型{1}，值未保存為{2}
BACnet,dox.bacnetPP,BACnet point properties,BACnet point properties,BACNET點特性
BACnet,mod.bacnet.ds.unsupportedObjectType,BACnet data source does not support object types of: {0},BACnet data source does not support object types of: {0},BACNET資料來源不支持：{0}的對像類型
BACnet,dox.bacnetIpDS,BACnet/IP data source,BACnet I/P data source,BACNET/IP資料來源
BACnet,mod.bacnetIp.dataSource,BACnet/IP,BACnet I/P,BACNET/IP
BACnet,mod.bacnetIp.dataPoint,BACnet/IP data point,BACnet/IP data point,BACNET/IP資料點
BACnet,mod.bacnetIp.desc,BACnet/IP properties,BACnet I/P properties,BACNET/IP屬性
BACnet,mod.bacnetIp.localDevice,Local device,Local device,本地設備
BACnet,mod.bacnetIp.localBindAddress,Local bind address,Local bind address,本地綁定地址
BACnet,mod.bacnetIp.broadcastAddress,Broadcast address,Broadcast address,廣播地址
BACnet,mod.bacnetIp.subnet,Subnet,Subnet,子網
BACnet,mod.bacnetIp.port,Port,Port,埠號
BACnet,mod.bacnetIp.cdesc,IP {1}:{0},I/P {1}:{0},IP {1}：{0}
BACnet,dox.foreignDevices,Foreign device registration,Foreign device registration,外國設備註冊
BACnet,dox.bacnetMstpDS,BACnet MS/TP data source,BACnet MS/TP data source,BACNET MS/TP資料來源
BACnet,mod.bacnetMstp.dataSource,BACnet MS/TP,BACnet MS/TP,BACNET MS/TP
BACnet,mod.bacnetMstp.dataPoint,BACnet MS/TP data point,BACnet MS/TP data point,BACNET MS/TP資料點
BACnet,mod.bacnetMstp.desc,BACnet MS/TP properties,BACnet MS/TP properties,BACNET MS/TP性質
BACnet,mod.bacnetMstp.commPortId,Comm port ID,Comm port ID,通信埠號ID
BACnet,mod.bacnetMstp.baudRate,Baud rate,Baud rate,Baud rate
BACnet,mod.bacnetMstp.thisStation,This station ID,This station ID,此站台ID
BACnet,mod.bacnetMstp.retryCount,Frame error retry count,Frame error retry count,框架錯誤重試計數
BACnet,mod.bacnetMstp.cdesc,MS/TP {0},MS/TP {0},MS/TP {0}
BACnet,mod.bacnetMstp.maxMaster,Max master,Max master,Max Master
BACnet,mod.bacnetMstp.maxInfoFrames,Max info frames,Max info frames,最大資訊框架
BACnet,mod.bacnetMstp.usageTimeout,Usage timeout,Usage timeout,使用逾時
BACnet,mod.bacnetMstp.useRealtime,Use realtime driver,Use realtime driver,使用實時驅動程序
BACnet,mod.bacnetMstp.responseTimeoutMs,Response timeout (ms),Response timeout (ms),響應逾時（MS）
BACnet,mod.bacnetMstp.driverFileLocation,Path to kernel driver,Path to kernel driver,通往內核驅動程序的路徑
BACnet,mod.bacnetMstp.configProgramLocation,Path to driver configuration program,Path to driver configuration program,驅動程序配置程序的路徑
BACnet,mod.bacnet.badMac,Invalid MAC id,Invalid MAC id,無效的Mac ID
BACnet,mod.bacnet.settings.header,BACnet local devices,BACnet local devices,BACNET本地設備
BACnet,mod.bacnet.settings.listTitle,Local devices,Local devices,本地設備
BACnet,mod.bacnet.settings.newLocalDevice,New local device,New local device,新的本地設備
BACnet,mod.bacnet.settings.createNewLocalDevice,Create new local device,Create new local device,建立新的本地設備
BACnet,mod.bacnet.settings.select,Select local device,Select local device,選擇本地設備
BACnet,mod.bacnet.settings.setup,BACnet local device setup,BACnet local device setup,BACNET本地設備設定
BACnet,dox.bacnetDevices,BACnet local devices,BACnet local devices,BACNET本地設備
BACnet,mod.bacnet.settings.details,Device configuration,Device configuration,設備配置
BACnet,mod.bacnet.settings.saved,Device configuration saved,Device configuration saved,設備配置保存
BACnet,mod.bacnet.settings.deleted,Device configuration deleted ,Device configuration deleted ,設備配置已刪除
BACnet,mod.bacnet.settings.notSaved,Device configuration not saved - {0},Device configuration not saved - {0},設備配置未保存 -  {0}
BACnet,mod.bacnet.settings.notDeleted,Device configuration not deleted - {0},Device configuration not deleted - {0},設備配置未刪除 -  {0}
BACnet,mod.bacnet.foreignBBMDAddress,BBMD address,BBMD address,BBMD地址
BACnet,mod.bacnet.foreignBBMDPort,BBMD port,BBMD port,BBMD埠號
BACnet,mod.bacnet.foreignBBMDTimeToLive,BBMD registration interval (seconds),BBMD registration interval (seconds),BBMD註冊間隔（秒）
BACnet,mod.bacnet.settings.registerNow,Register as foreign device,Register as foreign device,註冊為外國設備
BACnet,mod.bacnet.settings.selectDevice,Select device first,Select device first,首先選擇設備
BACnet,mod.bacnet.tools.saveFirst,Device must be saved first,Device must be saved first,設備必須先保存
BACnet,mod.bacnet.tools.mustBeIp,Only IP networks may have foreign devices,Only IP networks may have foreign devices,只有IP網路可能具有外國設備
BACnet,mod.bacnet.tools.registeredAsForeign,Successfully sent foreign device registration,Successfully sent foreign device registration,成功發送了外國設備註冊
BACnet,mod.bacnet.tools.illegalArgument,Address contains illegal argument(s): {0}:{1},Address contains illegal argument(s): {0}:{1},地址包含非法參數：{0}：{1}
BACnet,mod.bacnet.tools.bacnetException,BACnet exception sending message: {0},BACnet exception sending message: {0},BACNET異常發送消息：{0}
BACnet,mod.bacnet.tools.exceptionGettingDevice,Exception getting device: {0},Exception getting device: {0},例外取得設備：{0}
BACnet,mod.bacnet.tools.exceptionReleasingDevice,Exception releasing device: {0},Exception releasing device: {0},異常釋放設備：{0}
BACnet,mod.bacnet.tools.sendNow,Send foreign device registration,Send foreign device registration,發送外國設備註冊
BACnet,mod.bacnet.networkType,Network Type,Network Type,網路類型
BACnet,mod.bacnet.networkType.ip,IP,I/P,IP
BACnet,mod.bacnet.networkType.mstp,MS/TP,MS/TP,MS/TP
BACnet,mod.bacnet.networkMatch,A local device with the same network identifier already exists,A local device with the same network identifier already exists,具有相同網路標識符的本地設備已經存在
BACnet,mod.bacnet.localDeviceConfig,Local device,Local device,本地設備
BACnet,mod.bacnet.configNotFound,Local device not found. Check configuration.,Local device not found. Check configuration.,找不到本地設備。檢查配置。
BACnet,mod.bacnet.settings.deleteConfirm,Are you sure you want to delete this local device?,Are you sure you want to delete this local device?,您確定要刪除此本地設備嗎？
BACnet,mod.bacnet.deviceEmport.idRequired,A BACnet local device an ''id'' value. Ignored.,A BACnet local device an ''id'' value. Ignored.,BACNET本地設備一個“ ID”值。被忽略。
BACnet,mod.bacnet.deviceEmport.prefix,BACnet local device ''{0}'': {1},BACnet local device ''{0}'': {1},BACNET本地設備''{0}''：{1}
BACnet,mod.bacnet.pub,BACnet,BACnet,BACNET
BACnet,mod.bacnet.pub.event.init,BACnet initialization exception,BACnet initialization exception,BACNET初始化例外
BACnet,mod.bacnet.pub.event.service,BACnet service exception,BACnet service exception,BACNET服務例外
