key,english,zh_value,reason
eventHandlers.inactiveTestEmailMessage,This message was sent as a test of an event handler''s inactive list,This message was sent as a test of an event handler''s inactive list,same_as_english
eventHandlers.escalDelayError,Escalation delay must be greater than zero,Escalation delay must be greater than zero,same_as_english
eventHandlers.invalidActiveValue,Invalid active value to set,Invalid active value to set,same_as_english
eventHandlers.invalidInactiveValue,Invalid inactive value to set,Invalid inactive value to set,same_as_english
eventHandlers.saved,Event handler has been saved,Event handler has been saved,same_as_english
eventHandlers.eventHandlers,Event handlers,Event handlers,same_as_english
eventHandlers.types,Event types,Event types,same_as_english
eventHandlers.publisherEvents,Publisher events,Publisher events,same_as_english
eventHandlers.systemEvents,System events,System events,same_as_english
eventHandlers.auditEvents,Audit events,Audit events,same_as_english
eventHandlers.eventHandler,Event handler,Event handler,same_as_english
eventHandlers.type,Type,Type,same_as_english
eventHandlers.type.email,Email,Email,same_as_english
eventHandlers.type.emailHandler,Email handler,Email handler,same_as_english
eventHandlers.type.process,Process,Process,same_as_english
eventHandlers.type.processHandler,Process handler,Process handler,same_as_english
eventHandlers.recipientType.active,Active,Active,same_as_english
eventHandlers.recipientType.escalation,Escalation,Escalation,same_as_english
eventHandlers.recipientType.inactive,Inactive,Inactive,same_as_english
eventHandlers.additionalContext,Additional context,Additional context,same_as_english
eventHandlers.alias,Alias,Alias,same_as_english
eventHandlers.target,Target,Target,same_as_english
eventHandlers.activeAction,Active action,Active action,same_as_english
eventHandlers.inactiveAction,Inactive action,Inactive action,same_as_english
eventHandlers.action.none,None,None,same_as_english
eventHandlers.action.static,Set to static value,Set to static value,same_as_english
eventHandlers.action.script,Set to scripted value,Set to scripted value,same_as_english
eventHandlers.valueToSet,Value to set,Value to set,same_as_english
eventHandlers.script,Script,Script,same_as_english
eventHandlers.escal,Send escalation email,Send escalation,no_cjk
eventHandlers.repeatEscal,Repeat escalation email,Repeat escalation email,same_as_english
eventHandlers.escalPeriod,Escalate if active for,Escalate if active for,same_as_english
eventHandlers.inactiveNotif,Send inactive email,Send inactive notification,no_cjk
eventHandlers.inactiveOverride,Override inactive recipients,Override inactive recipients,same_as_english
eventHandlers.activeCommand,Active process command,Active process command,same_as_english
eventHandlers.activeTimeout,Active process timeout (s),Active process timeout (s),same_as_english
eventHandlers.inactiveCommand,Inactive process command,Inactive process command,same_as_english
eventHandlers.inactiveTimeout,Inactive process timeout (s),Inactive process timeout (s),same_as_english
eventHandlers.invalidCommands,At least one process command must be provided,At least one process command must be provided,same_as_english
eventHandlers.commandTest.title,Run the command now,Run the command now,same_as_english
eventHandlers.commandTest.result,Check your console or the logging console page for process output,Check your console or the logging console page for process output,same_as_english
eventHandlers.includeSystemInfo,Include system information,Include system information,same_as_english
eventHandlers.includeLogfile,Include logfile,Include logfile,same_as_english
eventHandlers.subjectLine,Subject line,Subject line,same_as_english
eventHandlers.includeName,Include handler name,Include handler name,same_as_english
eventHandlers.includeEventMessage,Include event message,Include event message,same_as_english
eventHandlers.customTemplate,Custom email template,Custom template,no_cjk
eventHandlers.script.nullResult,Returned null,Returned null,same_as_english
eventHandlers.script.success,Success: {0},Success: {0},same_as_english
eventHandlers.script.successUnchanged,"Success, no new value","Success, no new value",same_as_english
eventHandlers.script.successNoEmail,"Success, email sending cancelled","Success, email sending cancelled",same_as_english
eventHandlers.script.failure,Failure: {0},Failure: {0},same_as_english
eventHandlers.invalidActiveScript,Invalid active script,Invalid active script,same_as_english
eventHandlers.invalidActiveScriptError,Error in active script: {0},Error in active script: {0},same_as_english
eventHandlers.invalidInactiveScript,Invalid inactive script,Invalid inactive script,same_as_english
eventHandlers.invalidInactiveScriptError,Error in inactive script: {0},Error in inactive script: {0},same_as_english
eventHandlers.validate.duplicateEventTypes,Duplicate event types are not valid,Duplicate event types are not valid,same_as_english
events.id,Id,Id,same_as_english
events.search.id,Id,Id,same_as_english
events.search.previous,Previous,Previous,same_as_english
events.search.past,Past,Past,same_as_english
events.ackedByUser,- {0},- {0},same_as_english
events.export.ackedByUser,{0},{0},same_as_english
header.title,"Mango Automation, by Infinite Automation","Mango Automation, by Infinite Automation",same_as_english
javascript.validate.rhinoException,{0} at line: {1},{0} at line: {1},same_as_english
javascript.validate.rhinoExceptionCol,"{0} at line: {1}, column: {2}","{0} at line: {1}, column: {2}",same_as_english
javascript.permissions,Script permissions,Script permissions,same_as_english
login.browserOnPlatform,on,on,same_as_english
login.newPassword,New password,New password,same_as_english
login.validation.minLength,"The minimum length is {0} characters, you have entered {1} characters","The minimum length is {0} characters, you have entered {1} characters",same_as_english
login.validation.noConfirmPassword,Please confirm your new password by entering it again,Please confirm your new password by entering it again,same_as_english
login.validation.wrongConfirmPassword,The passwords do not match,The passwords do not match,same_as_english
login.validation.noResetToken,Password reset token is required,Password reset token is required,same_as_english
login.validation.resetTokenExpired,Password reset token has expired,Password reset token has expired,same_as_english
login.validation.invalidResetToken,Invalid reset token,Invalid reset token,same_as_english
Systems. We instead recommend the use of <a href,"""https://www.google.com/chrome/"" target=""_blank"">Google Chrome</a>, or \","""https://www.google.com/chrome/"" target=""_blank"">Google Chrome</a>, or \",same_as_english
<a href,"""https://www.mozilla.org/firefox/"" target=""_blank"">Mozilla Firefox</a>.","""https://www.mozilla.org/firefox/"" target=""_blank"">Mozilla Firefox</a>.",same_as_english
login.confirmPassword,Confirm new password,Confirm new password,same_as_english
login.resetMessage,You are resetting the password for {0}. The password reset token expires at {1} ({2}).,You are resetting the password for {0}. The password reset token expires at {1} ({2}).,same_as_english
login.errorResettingPassword,Error resetting password \u2014 {0},Error resetting password \u2014 {0},same_as_english
login.hide,Hide,Hide,same_as_english
login.confirmNewPassword,Confirm new password,Confirm new password,same_as_english
login.tokenExpiryMessage,Token expires at {0} ({1}).,Token expires at {0} ({1}).,same_as_english
pointDetails.recordCountError,Record count must be a number,Record count must be a number,same_as_english
pointDetails.set,Set,Set,same_as_english
pointEdit.buttons.note,"<span class=""smallTitle"">Note:</span> saving, disabling, or restarting a point causes all active events to be returned to normal.","<span class=""smallTitle"">Note:</span> saving, disabling, or restarting a point causes all active events to be returned to normal.",same_as_english
pointEdit.template.templateName,Template name,Template name,same_as_english
pointEdit.template.type,Template type,Template type,same_as_english
pointEdit.template.propertyTemplate,Property Template,Property Template,same_as_english
pointEdit.template.usePropertyTemplate,Use Property Template,Use Property Template,same_as_english
pointEdit.template.selectPropertyTemplate,Select Template,Select Template,same_as_english
pointEdit.template.updatePropertyTemplate,Update Template,Update Template,same_as_english
pointEdit.template.editPropertyTemplate,Edit Template,Edit Template,same_as_english
pointEdit.template.cancelEditPropertyTemplate,Cancel Edit,Cancel Edit,same_as_english
pointEdit.template.saveNewPropertyTemplate,Save As New Template,Save As New Template,same_as_english
pointEdit.template.templateSaved,Template Saved,Template Saved,same_as_english
pointEdit.template.templateNotSaved,"Template not saved, invalid values found","Template not saved, invalid values found",same_as_english
pointEdit.template.dataType,Data type,Data type,same_as_english
pointEdit.template.defaultTemplate,Default template,Default template,same_as_english
pointEdit.template.validate.templateNotFound,Assigned template with id: {0} does not exist,Assigned template with id: {0} does not exist,same_as_english
pointEdit.chart.props,Chart renderer properties,Chart renderer properties,same_as_english
pointEdit.chart.type,Type,Type,same_as_english
pointEdit.chart.limit,Limit,Limit,same_as_english
pointEdit.chart.timePeriod,Time period,Time period,same_as_english
pointEdit.chart.includeSum,Include sum,Include sum,same_as_english
pointEdit.chart.missingLimit,Chart renderer: limit must be entered,Chart renderer: limit must be entered,same_as_english
pointEdit.chart.invalidLimit,Chart renderer: limit must be between 2 and 50,Chart renderer: limit must be between 2 and 50,same_as_english
pointEdit.chart.missingPeriods,Chart renderer: number of periods must be entered,Chart renderer: number of periods must be entered,same_as_english
pointEdit.chart.invalidPeriods,Chart renderer: number of periods must be greater than zero,Chart renderer: number of periods must be greater than zero,same_as_english
pointEdit.detectors.state,State,State,same_as_english
pointEdit.props.deviceName,Device name,Device name,same_as_english
pointEdit.props.unit,Unit,Unit,same_as_english
pointEdit.props.integralUnit,Integral unit,Integral unit,same_as_english
pointEdit.props.renderedUnit,Display unit,Displayed unit,no_cjk
pointEdit.props.useIntegralUnit,Custom integral unit,Convert unit for displaying integral,no_cjk
pointEdit.props.useRenderedUnit,Custom display unit,Convert unit for display,no_cjk
pointEdit.props.useUnitAsSuffix,Use unit symbol as suffix,Use unit symbol as suffix,same_as_english
pointEdit.props.chartColour,Chart color,Chart color,same_as_english
pointEdit.props.intervalLoggingSampleWindowSize,Sample window size,Sample window size,same_as_english
pointEdit.props.overrideIntervalLoggingSamples,Override interval logging sample window,Override interval logging sample window,same_as_english
pointEdit.props.permission.read,Read permission,Read permission,same_as_english
pointEdit.props.permission.set,Set permission,Set permission,same_as_english
pointEdit.props.preventSetExtremeValues,Prevent extreme sets,Prevent extreme sets,same_as_english
pointEdit.props.setExtremeLowLimit,Low set limit,Low set limit,same_as_english
pointEdit.props.setExtremeHighLimit,High set limit,High set limit,same_as_english
pointEdit.props.simplifyType,Simplify type,Simplify type,same_as_english
pointEdit.props.simplifyTarget,Simplify target,Simplify target,same_as_english
pointEdit.props.simplifyTolerance,Simplify tolerance,Simplify tolerance,same_as_english
pointEdit.purge.purgeNow,Purge now,Purge now,same_as_english
pointEdit.purge.olderThan,Purge data older than,Purge data older than,same_as_english
pointEdit.purge.all,Purge all data,Purge all data,same_as_english
pointEdit.purge.allData,Purge all data for this data point,All data,no_cjk
pointEdit.purge.warn,"Purging data, please wait...","Purging data, please wait...",same_as_english
pointEdit.purge.specificTimeRange,Purge time range,Time range,no_cjk
pointEdit.purge.confirmSpecific,Really purge range? ,Really purge range? ,same_as_english
pointEdit.purge.invalidTimeRange,Invalid time range,Invalid time range,same_as_english
pointEdit.text.text,Text,Text,same_as_english
publisherEdit.point.name,Name,Name,same_as_english
publisherEdit.point.status,Status,Status,same_as_english
publisherEdit.point.type,Type,Type,same_as_english
systemSettings.permissions.userEditSelf,Edit your own user settings,Edit your own user settings,same_as_english
systemSettings.permissions.sendToMailingList,Send email to mailing list,Send email to mailing list,same_as_english
systemSettings.historyCount,History count,History count,same_as_english
systemSettings.plotBackgroundColour,Plot background,Plot background,same_as_english
systemSettings.plotGridlinesColour,Plot gridline,Plot gridline,same_as_english
systemSettings.validation.invalidColour,Invalid color,Invalid color,same_as_english
systemSettings.validation.cannotWriteToBackupFileLocation,Unable to write to backup file location,Unable to write to backup file location,same_as_english
systemSettings.validation.backupLocationNotExists,Backup location does not exist,Backup location does not exist,same_as_english
systemSettings.validation.backupHourInvalid,Hour must be 0-23,Hour must be 0-23,same_as_english
systemSettings.validation.backupMinuteInvalid,Minute must be 0-59,Minute must be 0-59,same_as_english
systemSettings.validation.backupFileCountInvalid,History must be > 0,History must be > 0,same_as_english
systemSettings.validation.cannotWriteToDatabaseBackupFileLocation,Unable to write to backup file location,Unable to write to backup file location,same_as_english
systemSettings.validation.databaseBackupLocationNotExists,Backup location does not exist,Backup location does not exist,same_as_english
systemSettings.validation.databaseBackupHourInvalid,Hour must be 0-23,Hour must be 0-23,same_as_english
systemSettings.validation.databaseBackupMinuteInvalid,Minute must be 0-59,Minute must be 0-59,same_as_english
systemSettings.validation.databaseBackupFileCountInvalid,History must be > 0,History must be > 0,same_as_english
systemSettings.chartFont,JFree chart font,JFree chart font,same_as_english
systemSettings.chartFont.default,Default font,Default font,same_as_english
systemSettings.chartFont.openSans,"Open Sans, Lucida Sans","Open Sans, Lucida Sans",same_as_english
systemSettings.threadPools,Thread pools,Thread pools,same_as_english
systemSettings.threadPools.highPriorityCorePoolSize,High priority core pool size,High priority core pool size,same_as_english
systemSettings.threadPools.highPriorityMaximumPoolSize,High priority maximum pool size,High priority maximum pool size,same_as_english
systemSettings.threadPools.mediumPriorityCorePoolSize,Medium priority core pool size,Medium priority core pool size,same_as_english
systemSettings.threadPools.lowPriorityCorePoolSize,Low priority core pool size,Low priority core pool size,same_as_english
systemSettings.threadPools.settingsSaved,Thread pool settings saved,Thread pool settings saved,same_as_english
systemSettings.threadPools.validate.maxPoolMustBeGreaterThanCorePool,Maximum thread pool size must be greater than or equal to core pool size,Maximum thread pool size must be greater than or equal to core pool size,same_as_english
systemSettings.comm.virtual.serialPorts,Virtual serial ports,Virtual serial ports,same_as_english
systemSettings.comm.virtual.serialPorts.types,Virtual serial port type,Virtual serial port type,same_as_english
systemSettings.comm.virtual.serialPortSaved,Virtual serial port saved,Virtual serial port saved,same_as_english
systemSettings.comm.virtual.serialPortRemoved,Virtual serial port removed,Virtual serial port removed,same_as_english
systemSettings.comm.virtual.serialPorts.serialSocketBridges,Serial socket bridges,Serial socket bridges,same_as_english
systemSettings.comm.virtual.serialPorts.types.serialClientSocketBridge,Serial client,Serial client,same_as_english
systemSettings.comm.virtual.serialPorts.types.serialServerSocketBridge,Serial server,Serial server,same_as_english
systemSettings.comm.virtual.serialClientSocketBridgeSettings,Serial client settings,Serial client settings,same_as_english
systemSettings.comm.virtual.serialServerSocketBridgeSettings,Serial server settings,Serial server settings,same_as_english
systemSettings.comm.virtual.serialClientSocketBridgeSettings.commPortId,Serial port id,Serial port id,same_as_english
systemSettings.comm.virtual.serialClientSocketBridgeSettings.address,Host,Host,same_as_english
systemSettings.comm.virtual.serialClientSocketBridgeSettings.port,Port,Port,same_as_english
systemSettings.comm.virtual.serialClientSocketBridgeSettings.timeout,Timeout (ms),Timeout (ms),same_as_english
systemSettings.comm.virtual.serialServerSocketBridgeSettings.bufferSize,Buffer Size,Buffer Size,same_as_english
systemSettings.siteAnalytics,Site analytics (Legacy UI),Site analytics (Legacy UI),same_as_english
systemSettings.siteAnalytics.headTag,Inserted before the closing 'head' tag,Inserted before the closing 'head' tag,same_as_english
systemSettings.siteAnalytics.bodyTag,Inserted before the closing 'body' tag,Inserted before the closing 'body' tag,same_as_english
systemSettings.siteAnalytics.saved,Site analytics saved,Site analytics saved,same_as_english
systemSettings.upgradeChecksEnabled,Enable checking for upgrades,Enable checking for upgrades,same_as_english
systemSettings.usageTrackingEnabled,Send usage information when checking for upgrades,Send usage information when checking for upgrades,same_as_english
systemSettings.licenseAlreadyAgreed,Already agreed to license,Already agreed to license,same_as_english
systemSettings.agreeAndContinue,Agree and continue,Agree and continue,same_as_english
systemSettings.upgradeChecksHelp,Mango will periodically check for upgrades every 24hrs (Recommended),Mango will periodically check for upgrades every 24hrs (Recommended),same_as_english
systemSettings.usageTrackingHelp,Allow uploading usage data to the Mango Store when checking for upgrades,Allow uploading usage data to the Mango Store when checking for upgrades,same_as_english
systemSettings.upgradeState.alpha,Alpha,Alpha,same_as_english
systemSettings.upgradeState.beta,Beta,Beta,same_as_english
systemSettings.httpSessionTimeout,HTTP Session timeout,HTTP Session timeout,same_as_english
systemSettings.passwordSettings,Password settings,Password settings,same_as_english
systemSettings.enablePasswordExpiration,Enable password expiration,Enable password expiration,same_as_english
systemSettings.passwordExpiration,Password expiration,Password expiration,same_as_english
systemSettings.restartDelay,Restart delay (seconds),Restart delay (seconds),same_as_english
systemInfo.databaseTypeDesc,Database type,Get the type of main database being used,no_cjk
systemInfo.diskInfoListDesc,Disk size information,Get information about disks on the server,no_cjk
systemInfo.eventCountsDesc,Event count,Get the count of events ,no_cjk
systemInfo.filedataCountDesc,File data count,Get the count of file data items,no_cjk
systemInfo.filedataSizeDesc,File data disk usage,Get the disk size of file data,no_cjk
systemInfo.loadAverageDesc,Load average,Get the load average,no_cjk
systemInfo.noSqlDatabaseSizeDesc,NoSQL disk usage,Get the disk size of the NoSQL database,no_cjk
systemInfo.osInfoDesc,Operating System,Get information about the operating system,no_cjk
systemInfo.sqlDatabaseBackupListDesc,List of available SQL backups,Get the list of available SQL backups,no_cjk
systemInfo.databaseSizeDesc,SQL database size,Get the size of the SQL database,no_cjk
systemInfo.timezoneDesc,Server timezone,Get the server's timezone description,no_cjk
header.virtualSerialPorts,Virtual serial ports,Virtual serial ports,same_as_english
emport.virtualserialport.prefix,Virtual Serial Port ''{0}'': {1},Virtual Serial Port ''{0}'': {1},same_as_english
emport.virtualserialport.missingType,Virtual Serial Port with XID ''{0}'' does not already exist and does not have a ''type'' value. Valid types are {1},Virtual Serial Port with XID ''{0}'' does not already exist and does not have a ''type'' value. Valid types are {1},same_as_english
virtualSerialPorts.validate.portMatchesOsPort,Cannot use a port identifier that matches your system identifier format.,Cannot use a port identifier that matches your system identifier format.,same_as_english
virtualSerialPorts.validate.portNameUsed,Port name already used by another virtual configuration,Port name already used by another virtual configuration,same_as_english
table.edit.unableToDelete,Unable to delete item,Unable to delete item,same_as_english
table.edit.unableToDeleteDueToConstraints,Unable to delete item due to database constraints,Unable to delete item due to database constraints,same_as_english
table.edit.alreadyExists,Item Already Exists,Item Already Exists,same_as_english
table.edit.unableToSave,Unable to save item {0},Unable to save item {0},same_as_english
users.email,Email address,Email,no_cjk
